"year","country","pop","gdp"
2010,"USA",314.242013,12927.03013
2011,"USA",316.57407236,13195.33494
2012,"USA",318.90613171999996,13463.639749999998
2013,"USA",321.23819108,13731.94456
2014,"USA",323.57025044,14000.249370000001
2015,"USA",325.9023098,14268.55418
2016,"USA",328.19608348,14647.737696
2017,"USA",330.48985716000004,15026.921212
2018,"USA",332.78363084,15406.104728
2019,"USA",335.07740452,15785.288244000001
2020,"USA",337.3711782,16164.47176
2021,"USA",339.51764936,16528.072996000003
2022,"USA",341.66412052,16891.674232
2023,"USA",343.81059168,17255.275468
2024,"USA",345.95706284000005,17618.876704000002
2025,"USA",348.103534,17982.47794
2026,"USA",349.94086594000004,18315.583634000002
2027,"USA",351.77819788,18648.689328
2028,"USA",353.61552982,18981.795022000002
2029,"USA",355.45286175999996,19314.900716000004
2030,"USA",357.2901937,19648.00641
2031,"USA",358.92949036,20005.038796
2032,"USA",360.56878702,20362.071182
2033,"USA",362.20808367999996,20719.103568
2034,"USA",363.84738034000003,21076.135954
2035,"USA",365.486677,21433.16834
2036,"USA",366.87672814,21793.64513
2037,"USA",368.26677928,22154.121919999998
2038,"USA",369.65683042,22514.59871
2039,"USA",371.04688156000003,22875.0755
2040,"USA",372.4369327,23235.55229
2041,"USA",373.52932538000005,23587.94525
2042,"USA",374.62171806000003,23940.33821
2043,"USA",375.71411074,24292.73117
2044,"USA",376.80650342,24645.12413
2045,"USA",377.8988961,24997.51709
2046,"USA",378.73235624000006,25308.890662
2047,"USA",379.56581638,25620.264234000002
2048,"USA",380.39927652,25931.637806
2049,"USA",381.23273666,26243.011378000003
2050,"USA",382.0661968,26554.38495
2051,"USA",382.77550192,26851.273180000004
2052,"USA",383.48480703999996,27148.16141
2053,"USA",384.19411216000003,27445.04964
2054,"USA",384.90341728,27741.93787
2055,"USA",385.6127224,28038.8261
2056,"USA",386.2340423,28331.035136000002
2057,"USA",386.8553622,28623.244172
2058,"USA",387.4766821,28915.453208
2059,"USA",388.098002,29207.662244000003
2060,"USA",388.7193219,29499.87128
2061,"USA",389.15952546000005,29799.024782
2062,"USA",389.59972902000004,30098.178284
2063,"USA",390.03993258,30397.331786000002
2064,"USA",390.48013614,30696.485288000003
