File Description: RCMIP SSP119 effective radiative forcing scenario from 1750-2500.,,,,,,,,,,,,,,,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1775,0.028838548,0.008791035,0.002421223,3.70E-09,0.005,0,0.001125066,0,-0.000242231,-0.003890177,0.000578036,-0.005736431,0.184251837,-0.049607635,0.036885073,0.134644202,0.171529276
1776,0.030777429,0.009217623,0.002472018,4.04E-09,0.0052,0,0.00117966,0,0.001187004,0.000915736,0.000161444,-0.005965889,0.185132645,-0.070762029,0.045145028,0.114370616,0.159515644
1777,0.032595871,0.009648915,0.00251264,4.38E-09,0.0054,0,0.001234856,0,-0.000623903,-0.005956005,0.000817379,-0.006195346,0.185428515,-0.066955486,0.039434413,0.118473029,0.157907442
1778,0.034433829,0.009657755,0.00255329,4.72E-09,0.0056,0,0.001235987,0,-0.002410007,-0.01075557,0.001131235,-0.006424803,0.185527904,-0.02232221,0.03502172,0.163205695,0.198227415
1779,0.036291184,0.009755367,0.002590551,5.07E-09,0.0058,0,0.00124848,0,-0.000376459,-0.00481067,0.000697708,-0.00665426,0.185561294,0.049081672,0.044541906,0.234642966,0.279184872
1780,0.038187868,0.009958149,0.002624416,5.41E-09,0.006,0,0.001274432,0,-0.003919553,-0.012579566,0.001033014,-0.006883718,0.185572511,0.091858479,0.035695046,0.277430989,0.313126036
1781,0.040004025,0.010292844,0.002651468,5.75E-09,0.0062,0,0.001317266,0,-0.001616631,-0.008895736,0.001034143,-0.007113175,0.18557628,0.091702473,0.04387421,0.277278753,0.321152962
1782,0.041959409,0.010620529,0.00267515,6.09E-09,0.0064,0,0.001359202,0,-0.001322275,-0.006456259,0.000707869,-0.007342632,0.185577542,0.06741236,0.048600999,0.252989903,0.301590902
1783,0.043894127,0.010831228,0.002688684,6.43E-09,0.0066,0,0.001386167,0,-0.000433752,-0.004371682,0.000597229,-0.007572089,-1.60729548,0.030548176,0.053619917,-1.576747304,-1.523127387
1784,0.045768496,0.011023116,0.002709,6.77E-09,0.0068,0,0.001410725,0,0.003515595,0.002853438,0.000482073,-0.007801547,-3.487733813,-0.012977459,0.066760903,-3.500711272,-3.433950369
1785,0.047722011,0.011221848,0.002725894,7.11E-09,0.007,0,0.001436158,0,-0.001417692,-0.006990487,0.000767704,-0.008031004,-1.322905367,-0.049670037,0.054434439,-1.372575404,-1.318140965
1786,0.049654877,0.011416739,0.002749594,7.45E-09,0.0072,0,0.0014611,0,0.001297273,-0.002104051,0.000687547,-0.008260461,-0.487441694,-0.068967962,0.064102625,-0.556409656,-0.492307031
1787,0.051646949,0.011482394,0.002756333,7.79E-09,0.0074,0,0.001469503,0,-0.000700901,-0.007170701,0.000986726,-0.008489918,-0.096321932,-0.055270647,0.059380393,-0.151592579,-0.092212187
1788,0.053678115,0.011789647,0.002752907,8.13E-09,0.0076,0,0.001508824,0,-0.005868829,-0.020239549,0.00177701,-0.008719376,0.088346894,0.01334073,0.044278759,0.101687624,0.145966383
1789,0.055708645,0.012093103,0.002756271,8.48E-09,0.0078,0,0.00154766,0,-0.003337408,-0.012998945,0.001240746,-0.008948833,0.152801722,0.09348094,0.055861247,0.246282662,0.302143909
