"year","carbon_dioxide"
1950,1.2508082419217361
1951,1.2506532385041194
1952,1.2537610926834284
1953,1.2599001393778293
1954,1.2688781774209235
1955,1.2805379954809808
1956,1.29475351259773
1957,1.311426456806981
1958,1.3304835153596306
1959,1.351873898799075
1960,1.3755672688052298
1961,1.4069786768069554
1962,1.4314899204139873
1963,1.4734882444495552
1964,1.5241987682662796
1965,1.5939838442005887
1966,1.6523972944975651
1967,1.7109359313252095
1968,1.7573700013403395
1969,1.823040804942167
1970,1.9041012914110527
1971,2.010134729873579
1972,2.113403002656642
1973,2.2350111085805513
1974,2.3732307483667987
1975,2.4574970280149766
1976,2.5134834678569278
1977,2.6622874434431307
1978,2.777620944692956
1979,2.8833287013740767
1980,3.0052880586397177
1981,3.1490221664413287
1982,3.3229724830937926
1983,3.4691731599523146
1984,3.684035494854398
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.2976586827587
2017,9.380275488569861
2018,9.462892294381023
2019,9.545509100192177
2020,9.628125906003334
2021,9.705964183156613
2022,9.783802460309904
2023,9.86164073746318
2024,9.939479014616461
2025,10.017317291769743
2026,10.095155568923024
2027,10.17299384607631
2028,10.25083212322959
2029,10.328670400382867
2030,10.406508677536152
2031,10.444117730047433
2032,10.481726782558713
2033,10.519335835069992
2034,10.556944887581276
2035,10.594553940092556
2036,10.632162992603833
2037,10.669772045115117
2038,10.707381097626392
2039,10.744990150137678
2040,10.782599202648957
2041,10.803380302005275
2042,10.824161401361597
2043,10.844942500717918
2044,10.865723600074242
2045,10.886504699430562
2046,10.907285798786882
2047,10.928066898143198
2048,10.948847997499522
2049,10.969629096855838
2050,10.99041019621216
2051,10.954590550174846
2052,10.918770904137533
2053,10.882951258100219
2054,10.84713161206291
2055,10.811311966025588
2056,10.775492319988274
2057,10.739672673950965
2058,10.70385302791365
2059,10.668033381876334
2060,10.632213735839024
2061,10.507038219518757
2062,10.381862703198493
2063,10.256687186878224
2064,10.13151167055796
2065,10.006336154237696
2066,9.88116063791743
2067,9.755985121597165
2068,9.630809605276902
2069,9.505634088956633
2070,9.38045857263637
2071,9.17692644587317
2072,8.973394319109964
2073,8.769862192346764
2074,8.566330065583564
2075,8.362797938820364
2076,8.15926581205716
2077,7.955733685293961
2078,7.752201558530759
2079,7.548669431767559
2080,7.345137305004358
2081,7.083094259185968
2082,6.821051213367578
2083,6.559008167549191
2084,6.2969651217308
2085,6.034922075912407
2086,5.772879030094019
2087,5.51083598427563
2088,5.24879293845724
2089,4.98674989263885
2090,4.72470684682046
2091,4.56319056752535
2092,4.40167428823024
2093,4.24015800893513
2094,4.07864172964002
2095,3.91712545034491
2096,3.755609171049799
2097,3.594092891754689
2098,3.432576612459579
2099,3.2710603331644683
2100,3.109544053869358
2101,3.038664163335761
2102,2.969723089448549
2103,2.902661338131443
2104,2.837421378203416
2105,2.773947570303494
2106,2.712186098642571
2107,2.652084905461536
2108,2.593593628080397
2109,2.5366635384282983
2110,2.4812474849492356
2111,2.4272998367829843
2112,2.374776430125274
2113,2.323634516675466
2114,2.273832714084143
2115,2.2253309583168424
2116,2.178090457853947
2117,2.1320736496502204
2118,2.087244156780912
2119,2.043566747704536
2120,2.0010072970755193
2121,1.9595327480428437
2122,1.9191110759735939
2123,1.8797112535430063
2124,1.841303217135133
2125,1.8038578345006908
2126,1.767346873620955
2127,1.7317429727287899
2128,1.6970196114399927
2129,1.6631510829501686
2130,1.630112467254243
2131,1.5978796053475783
2132,1.5664290743694032
2133,1.5357381636509109
2134,1.5057848516320256
2135,1.4765477836123087
2136,1.4480062503029694
2137,1.4201401671483072
2138,1.3929300543862555
2139,1.3663570178189681
2140,1.3404027302655752
2141,1.3150494136704272
2142,1.290279821841231
2143,1.2660772237925368
2144,1.2424253876710625
2145,1.21930856524029
2146,1.1967114769027132
2147,1.1746192972389713
2148,1.1530176410439819
2149,1.1318925498409707
2150,1.1112304788550764
2151,1.091018284428962
2152,1.0712432118635495
2153,1.0518928836676935
